"Ship Mode",Segment,Country,City,State,"Postal Code",Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
"Standard Class",Corporate,"United States",Naperville,Illinois,60540,Central,Technology,Phones,$147.168,4,0.20,117.73440000000001
"Standard Class",Corporate,"United States",Melbourne,Florida,32935,South,"Office Supplies",Storage,$95.616,2,0.20,76.4928
"First Class",Consumer,"United States",Troy,"New York",12180,East,Furniture,Chairs,$319.41,5,0.10,287.46900000000005
"First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Binders,$48.48,4,0.20,38.784
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Binders,$25.824,6,0.20,20.659200000000002
"Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,Furniture,Chairs,$213.115,5,0.30,149.1805
"Standard Class",Corporate,"United States",Gilbert,Arizona,85234,West,"Office Supplies",Art,$1113.024,8,0.20,890.4191999999999
"Standard Class",Corporate,"United States",Gilbert,Arizona,85234,West,Technology,Phones,$167.968,4,0.20,134.37439999999998
"Standard Class",Consumer,"United States","New York City","New York",10009,East,"Office Supplies",Binders,$4.616,1,0.20,3.6927999999999996
"Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,Furniture,Chairs,$831.936,8,0.20,665.5488
"Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,Furniture,Furnishings,$97.04,2,0.20,77.632
"Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,"Office Supplies",Storage,$72.784,1,0.20,58.2272
"First Class",Corporate,"United States",Houston,Texas,77041,Central,"Office Supplies",Binders,$1.248,3,0.80,0.24959999999999993
"First Class",Corporate,"United States",Houston,Texas,77041,Central,Furniture,Furnishings,$9.708,3,0.60,3.8832000000000004
"First Class",Corporate,"United States",Houston,Texas,77041,Central,"Office Supplies",Storage,$27.24,3,0.20,21.791999999999998
"Second Class",Consumer,"United States",Houston,Texas,77070,Central,Furniture,Furnishings,$19.3,5,0.60,7.720000000000001
"Standard Class",Corporate,"United States",Durham,"North Carolina",27707,South,"Office Supplies",Envelopes,$200.984,7,0.20,160.7872
"First Class","Home Office","United States",Chicago,Illinois,60623,Central,"Office Supplies",Storage,$230.376,3,0.20,184.3008
"Second Class","Home Office","United States",Houston,Texas,77095,Central,"Office Supplies",Storage,$158.368,7,0.20,126.6944
"Standard Class",Corporate,"United States","Los Angeles",California,90036,West,Technology,Phones,$73.584,2,0.20,58.867200000000004
"Standard Class","Home Office","United States",Portland,Oregon,97206,West,"Office Supplies",Binders,$5.682,1,0.70,1.7046000000000006
"First Class",Consumer,"United States","San Francisco",California,94122,West,"Office Supplies",Binders,$51.312,3,0.20,41.0496
"Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,"Office Supplies",Paper,$64.624,7,0.20,51.6992
"Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,Technology,Accessories,$95.976,3,0.20,76.7808
"Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,"Office Supplies",Binders,$1.788,3,0.80,0.3575999999999999
"Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,Technology,Accessories,$238.896,6,0.20,191.11679999999998
"Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,Furniture,Furnishings,$102.36,3,0.20,81.888
"Standard Class",Consumer,"United States",Aurora,Colorado,80013,West,"Office Supplies",Binders,$36.882,3,0.70,11.064600000000002
"Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,Technology,Accessories,$74.112,8,0.20,59.28959999999999
"Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,Technology,Phones,$27.992,1,0.20,22.3936
"Standard Class",Consumer,"United States",Charlotte,"North Carolina",28205,South,"Office Supplies",Art,$3.304,1,0.20,2.6431999999999998
"Standard Class","Home Office","United States","Orland Park",Illinois,60462,Central,Technology,Accessories,$339.96,5,0.20,271.96799999999996
"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Fasteners,$40.096,14,0.20,32.0768
"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Envelopes,$4.72,2,0.20,3.776
"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Paper,$23.976,3,0.20,19.180799999999998
"Second Class",Consumer,"United States",Columbus,Ohio,43229,East,"Office Supplies",Envelopes,$130.464,6,0.20,104.3712
"Standard Class",Corporate,"United States",Bristol,Tennessee,37620,South,"Office Supplies",Binders,$157.794,1,0.70,47.338200000000015
"Second Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Chairs,$600.558,3,0.30,420.3906
"Standard Class",Consumer,"United States",Bloomington,Illinois,61701,Central,Furniture,Tables,$617.7,6,0.50,308.85
"Standard Class",Consumer,"United States",Phoenix,Arizona,85023,West,"Office Supplies",Binders,$2.388,2,0.70,0.7164000000000001
"Standard Class",Consumer,"United States",Phoenix,Arizona,85023,West,"Office Supplies",Storage,$243.992,7,0.20,195.1936
"Second Class","Home Office","United States","Los Angeles",California,90004,West,Furniture,Chairs,$81.424,2,0.20,65.1392
"First Class",Corporate,"United States",Columbus,Ohio,43229,East,Technology,Phones,$59.97,5,0.40,35.982
"First Class",Corporate,"United States",Columbus,Ohio,43229,East,"Office Supplies",Paper,$78.304,2,0.20,62.6432
"First Class",Corporate,"United States",Columbus,Ohio,43229,East,"Office Supplies",Fasteners,$21.456,9,0.20,17.1648
"Standard Class",Consumer,"United States",Roseville,California,95661,West,"Office Supplies",Binders,$76.176,3,0.20,60.9408
"Second Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,$82.8,2,0.20,66.24
"Standard Class","Home Office","United States",Newark,Ohio,43055,East,Furniture,Furnishings,$93.888,4,0.20,75.1104
"First Class","Home Office","United States",Scottsdale,Arizona,85254,West,"Office Supplies",Appliances,$157.92,5,0.20,126.33599999999998
"First Class","Home Office","United States",Scottsdale,Arizona,85254,West,Technology,Phones,$203.184,2,0.20,162.5472
"Second Class",Consumer,"United States",Seattle,Washington,98115,West,Furniture,Chairs,$457.568,2,0.20,366.0544
"Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,Technology,Accessories,$54.384,2,0.20,43.5072
"Standard Class",Consumer,"United States",Seattle,Washington,98115,West,"Office Supplies",Binders,$27.68,2,0.20,22.144
"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Art,$9.936,3,0.20,7.9488
"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Technology,Machines,$8159.952,8,0.40,4895.9712
"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Storage,$275.928,3,0.20,220.7424
"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Furniture,Chairs,$1740.06,9,0.30,1218.042
"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Art,$32.064,6,0.20,25.6512
"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,"Office Supplies",Appliances,$177.98,5,0.80,35.596000000000004
"Standard Class",Consumer,"United States","San Antonio",Texas,78207,Central,Technology,Phones,$143.976,3,0.20,115.1808
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Chairs,$340.144,7,0.20,272.1152
"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,"Office Supplies",Appliances,$52.448,2,0.80,10.489599999999996
"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,"Office Supplies",Labels,$20.16,4,0.20,16.128
"Second Class",Consumer,"United States",Houston,Texas,77036,Central,"Office Supplies",Appliances,$97.264,4,0.80,19.452799999999996
"Second Class",Consumer,"United States",Newark,Ohio,43055,East,Furniture,Chairs,$396.802,7,0.30,277.76140000000004
"Second Class",Consumer,"United States",Newark,Ohio,43055,East,"Office Supplies",Supplies,$15.88,5,0.20,12.704
"Second Class",Corporate,"United States",Decatur,Illinois,62521,Central,"Office Supplies",Storage,$24.816,2,0.20,19.8528
"Second Class",Corporate,"United States",Decatur,Illinois,62521,Central,Technology,Accessories,$408.744,7,0.20,326.9952
"Standard Class",Corporate,"United States","Grand Prairie",Texas,75051,Central,"Office Supplies",Storage,$37.224,3,0.20,29.779199999999996
"Standard Class",Corporate,"United States","Grand Prairie",Texas,75051,Central,"Office Supplies",Paper,$20.016,3,0.20,16.0128
"First Class","Home Office","United States","New York City","New York",10035,East,Furniture,Bookcases,$899.136,4,0.20,719.3088
"First Class","Home Office","United States","New York City","New York",10035,East,Furniture,Bookcases,$626.352,3,0.20,501.0816
"Standard Class",Consumer,"United States",Hamilton,Ohio,45011,East,"Office Supplies",Art,$7.408,2,0.20,5.9264
"Standard Class",Consumer,"United States",Hamilton,Ohio,45011,East,"Office Supplies",Art,$6.048,3,0.20,4.8384
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19120,East,"Office Supplies",Binders,$2.946,2,0.70,0.8838000000000004
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19120,East,"Office Supplies",Paper,$16.056,3,0.20,12.844800000000001
"Standard Class",Consumer,"United States",Akron,Ohio,44312,East,"Office Supplies",Paper,$21.744,3,0.20,17.3952
"First Class",Consumer,"United States",Denver,Colorado,80219,West,Furniture,Tables,$218.75,2,0.50,109.375
"First Class",Consumer,"United States",Denver,Colorado,80219,West,"Office Supplies",Appliances,$2.6,1,0.20,2.08
"Second Class",Consumer,"United States",Dallas,Texas,75220,Central,"Office Supplies",Appliances,$66.284,2,0.80,13.256799999999998
"Standard Class",Corporate,"United States",Franklin,Tennessee,37064,South,Furniture,Furnishings,$35.168,7,0.20,28.1344
"Standard Class",Consumer,"United States",Whittier,California,90604,West,Technology,Phones,$444.768,4,0.20,355.8144
"Second Class",Corporate,"United States",Dallas,Texas,75220,Central,Technology,Accessories,$20.8,2,0.20,16.64
"Standard Class",Corporate,"United States",Medina,Ohio,44256,East,"Office Supplies",Labels,$23.68,2,0.20,18.944
"Standard Class",Corporate,"United States",Medina,Ohio,44256,East,Furniture,Bookcases,$452.45,5,0.50,226.225
"Standard Class",Corporate,"United States",Medina,Ohio,44256,East,Technology,Phones,$62.982,3,0.40,37.789199999999994
"Standard Class",Corporate,"United States",Medina,Ohio,44256,East,Technology,Machines,$1188,9,0.70,356.4000000000001
"Standard Class",Corporate,"United States",Medina,Ohio,44256,East,Technology,Accessories,$89.584,2,0.20,71.66720000000001
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,$302.376,3,0.20,241.90079999999998
"First Class",Consumer,"United States",Dublin,Ohio,43017,East,"Office Supplies",Fasteners,$5.584,2,0.20,4.4672
"First Class",Consumer,"United States",Dublin,Ohio,43017,East,"Office Supplies",Paper,$22.704,6,0.20,18.1632
"First Class",Consumer,"United States",Dublin,Ohio,43017,East,"Office Supplies",Binders,$19.776,4,0.70,5.9328
"First Class",Consumer,"United States",Dublin,Ohio,43017,East,Furniture,Furnishings,$72.704,4,0.20,58.163199999999996
"First Class",Consumer,"United States",Dublin,Ohio,43017,East,Technology,Machines,$479.988,4,0.70,143.9964
"First Class",Consumer,"United States",Dublin,Ohio,43017,East,"Office Supplies",Art,$27.168,2,0.20,21.7344
"Standard Class",Consumer,"United States",Columbia,Tennessee,38401,South,Furniture,Chairs,$161.568,2,0.20,129.2544
"Standard Class",Consumer,"United States",Columbia,Tennessee,38401,South,Furniture,Chairs,$389.696,8,0.20,311.7568
"Standard Class",Corporate,"United States",Charlotte,"North Carolina",28205,South,"Office Supplies",Binders,$18.648,7,0.70,5.5944
"Standard Class","Home Office","United States",Tampa,Florida,33614,South,Furniture,Tables,$233.86,2,0.45,128.623
"Standard Class","Home Office","United States",Tampa,Florida,33614,South,Furniture,Tables,$620.6145,3,0.45,341.33797500000003
"Standard Class","Home Office","United States",Tampa,Florida,33614,South,"Office Supplies",Binders,$5.328,2,0.70,1.5984000000000003
"Standard Class","Home Office","United States",Tampa,Florida,33614,South,Technology,Accessories,$617.976,3,0.20,494.3808
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,"Office Supplies",Paper,$25.92,5,0.20,20.736
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Furnishings,$419.68,5,0.60,167.872
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Furnishings,$11.688,3,0.60,4.6752
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,Technology,Phones,$31.984,2,0.20,25.587200000000003
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Tables,$177.225,5,0.50,88.6125
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,Furniture,Furnishings,$4.044,3,0.60,1.6176
"Second Class",Consumer,"United States",Chicago,Illinois,60610,Central,"Office Supplies",Art,$7.408,2,0.20,5.9264
"Second Class",Consumer,"United States","San Francisco",California,94109,West,Furniture,Chairs,$321.568,2,0.20,257.2544
"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,Furniture,Furnishings,$12.132,9,0.60,4.8528
"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,"Office Supplies",Storage,$82.368,2,0.20,65.89439999999999
"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,"Office Supplies",Storage,$53.92,5,0.20,43.136
"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,Technology,Phones,$647.904,6,0.20,518.3232
"Second Class",Consumer,"United States","New York City","New York",10009,East,"Office Supplies",Binders,$17.52,5,0.20,14.016
"Standard Class",Corporate,"United States",Pasadena,Texas,77506,Central,"Office Supplies",Appliances,$1.624,2,0.80,0.3248
"Second Class",Corporate,"United States",Houston,Texas,77036,Central,Technology,Machines,$3059.982,3,0.40,1835.9892
"Second Class",Corporate,"United States",Houston,Texas,77036,Central,Technology,Machines,$2519.958,7,0.40,1511.9748
"Standard Class",Consumer,"United States",Chicago,Illinois,60610,Central,Technology,Phones,$328.224,4,0.20,262.5792
"Standard Class",Corporate,"United States","Chapel Hill","North Carolina",27514,South,"Office Supplies",Art,$14.016,3,0.20,11.2128
"Standard Class",Corporate,"United States",Cincinnati,Ohio,45231,East,"Office Supplies",Storage,$37.208,1,0.20,29.766399999999997
"Standard Class",Corporate,"United States",Cincinnati,Ohio,45231,East,"Office Supplies",Envelopes,$57.576,3,0.20,46.0608
"First Class",Consumer,"United States","San Francisco",California,94109,West,"Office Supplies",Binders,$10.92,3,0.20,8.736
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Paper,$11.648,2,0.20,9.3184
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Paper,$18.176,4,0.20,14.540799999999999
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Storage,$59.712,6,0.20,47.769600000000004
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Labels,$24.84,3,0.20,19.872
"Second Class",Consumer,"United States",Houston,Texas,77070,Central,"Office Supplies",Binders,$2.08,5,0.80,0.4159999999999999
"Second Class",Consumer,"United States",Houston,Texas,77070,Central,Technology,Phones,$1114.4,7,0.20,891.5200000000001
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Tables,$1038.84,5,0.20,831.0719999999999
"Standard Class",Consumer,"United States",Portland,Oregon,97206,West,"Office Supplies",Paper,$141.76,5,0.20,113.40799999999999
"Standard Class",Consumer,"United States",Portland,Oregon,97206,West,Technology,Accessories,$239.8,5,0.20,191.84
"Standard Class",Consumer,"United States",Portland,Oregon,97206,West,"Office Supplies",Paper,$31.104,6,0.20,24.8832
"Second Class",Corporate,"United States",Tamarac,Florida,33319,South,"Office Supplies",Binders,$254.058,7,0.70,76.2174
"Second Class",Corporate,"United States",Tamarac,Florida,33319,South,"Office Supplies",Appliances,$194.528,2,0.20,155.6224
"Second Class",Corporate,"United States",Tamarac,Florida,33319,South,"Office Supplies",Supplies,$961.48,5,0.20,769.184
"Second Class","Home Office","United States",Columbus,Ohio,43229,East,"Office Supplies",Fasteners,$19.096,7,0.20,15.2768
"Second Class","Home Office","United States",Columbus,Ohio,43229,East,"Office Supplies",Labels,$18.496,8,0.20,14.7968
"Second Class","Home Office","United States",Columbus,Ohio,43229,East,Technology,Accessories,$255.984,2,0.20,204.7872
"Second Class","Home Office","United States",Columbus,Ohio,43229,East,Furniture,Bookcases,$86.97,3,0.50,43.485
"First Class",Corporate,"United States","Colorado Springs",Colorado,80906,West,Furniture,Furnishings,$300.416,8,0.20,240.3328
"First Class",Corporate,"United States","Colorado Springs",Colorado,80906,West,Furniture,Chairs,$230.352,3,0.20,184.2816
"First Class",Corporate,"United States","Colorado Springs",Colorado,80906,West,Furniture,Furnishings,$218.352,3,0.20,174.6816
"First Class",Corporate,"United States","Colorado Springs",Colorado,80906,West,"Office Supplies",Binders,$78.6,5,0.70,23.58
"First Class",Corporate,"United States","Colorado Springs",Colorado,80906,West,"Office Supplies",Fasteners,$27.552,3,0.20,22.0416
"Standard Class",Consumer,"United States",Chicago,Illinois,60623,Central,Furniture,Tables,$219.075,3,0.50,109.5375
"Second Class",Corporate,"United States",Arvada,Colorado,80004,West,Furniture,Furnishings,$15.136,4,0.20,12.108799999999999
"Second Class",Corporate,"United States",Arvada,Colorado,80004,West,Furniture,Chairs,$466.768,2,0.20,373.4144
"Second Class",Corporate,"United States",Arvada,Colorado,80004,West,Furniture,Furnishings,$15.232,1,0.20,12.185599999999999
"Second Class",Corporate,"United States",Arvada,Colorado,80004,West,"Office Supplies",Labels,$6.264,3,0.20,5.0112000000000005
"Standard Class",Corporate,"United States","Saint Petersburg",Florida,33710,South,Technology,Phones,$178.384,2,0.20,142.7072
"Standard Class",Corporate,"United States","Saint Petersburg",Florida,33710,South,"Office Supplies",Paper,$15.552,3,0.20,12.4416
"First Class",Corporate,"United States",Philadelphia,Pennsylvania,19143,East,"Office Supplies",Art,$99.136,4,0.20,79.30879999999999
"Standard Class","Home Office","United States","New York City","New York",10024,East,Furniture,Chairs,$135.882,1,0.10,122.2938
"Standard Class",Corporate,"United States",Hesperia,California,92345,West,"Office Supplies",Binders,$251.52,6,0.20,201.216
"Second Class",Corporate,"United States",Murfreesboro,Tennessee,37130,South,Furniture,Furnishings,$15.992,1,0.20,12.793600000000001
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,Technology,Phones,$290.898,3,0.40,174.5388
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,"Office Supplies",Storage,$54.224,2,0.20,43.3792
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,$786.744,4,0.30,550.7208
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,"Office Supplies",Labels,$100.24,10,0.20,80.192
"First Class",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,"Office Supplies",Binders,$37.764,6,0.70,11.329200000000004
"Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,Technology,Phones,$82.8,2,0.40,49.68
"Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,"Office Supplies",Binders,$20.724,2,0.70,6.217200000000002
"Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,"Office Supplies",Binders,$4.896,3,0.70,1.4688000000000003
"Second Class",Consumer,"United States","Los Angeles",California,90045,West,"Office Supplies",Binders,$4.752,1,0.20,3.8015999999999996
"Second Class",Consumer,"United States","Los Angeles",California,90045,West,Technology,Copiers,$959.984,2,0.20,767.9872
"Second Class",Consumer,"United States","Los Angeles",California,90045,West,"Office Supplies",Binders,$14.368,4,0.20,11.4944
"Standard Class",Corporate,"United States","San Francisco",California,94122,West,"Office Supplies",Binders,$7.712,2,0.20,6.1696
"Standard Class",Corporate,"United States","San Francisco",California,94122,West,Furniture,Tables,$698.352,3,0.20,558.6816
"Second Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Art,$17.856,4,0.20,14.2848
"Second Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Binders,$509.97,10,0.70,152.99100000000004
"Second Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Fasteners,$30.992,13,0.20,24.7936
"Second Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,Technology,Phones,$71.928,12,0.40,43.1568
"Standard Class",Consumer,"United States",Austin,Texas,78745,Central,"Office Supplies",Storage,$88.8,4,0.20,71.03999999999999
"Standard Class",Consumer,"United States","San Francisco",California,94122,West,Technology,Phones,$47.976,3,0.20,38.3808
"First Class","Home Office","United States","New York City","New York",10009,East,"Office Supplies",Binders,$3.048,1,0.20,2.4384
"First Class","Home Office","United States","New York City","New York",10009,East,"Office Supplies",Binders,$4355.168,4,0.20,3484.1344
"Standard Class",Consumer,"United States","New York City","New York",10035,East,Furniture,Bookcases,$388.704,6,0.20,310.96320000000003
"Standard Class",Corporate,"United States",Charlotte,"North Carolina",28205,South,"Office Supplies",Paper,$36.24,5,0.20,28.992
"Standard Class",Consumer,"United States","New York City","New York",10009,East,Furniture,Chairs,$488.646,3,0.10,439.7814
"Standard Class",Consumer,"United States",Harlingen,Texas,78550,Central,"Office Supplies",Paper,$25.92,5,0.20,20.736
"Standard Class",Consumer,"United States",Harlingen,Texas,78550,Central,"Office Supplies",Storage,$53.424,3,0.20,42.7392
"Standard Class",Consumer,"United States",Tucson,Arizona,85705,West,"Office Supplies",Binders,$8.16,5,0.70,2.4480000000000004
"Standard Class",Consumer,"United States",Tucson,Arizona,85705,West,Technology,Accessories,$1023.936,8,0.20,819.1488
"Standard Class",Consumer,"United States",Tucson,Arizona,85705,West,"Office Supplies",Art,$9.24,1,0.20,7.392
"Standard Class",Consumer,"United States",Tucson,Arizona,85705,West,Technology,Accessories,$479.04,10,0.20,383.232
"First Class",Corporate,"United States",Quincy,Illinois,62301,Central,"Office Supplies",Paper,$99.136,4,0.20,79.30879999999999
"Standard Class",Corporate,"United States",Franklin,Massachusetts,2038,East,Furniture,Tables,$1488.424,7,0.30,1041.8968
"Standard Class",Consumer,"United States",Houston,Texas,77095,Central,"Office Supplies",Appliances,$8.652,3,0.80,1.7303999999999995
"Standard Class",Consumer,"United States",Houston,Texas,77095,Central,"Office Supplies",Storage,$23.832,3,0.20,19.0656
"Standard Class",Consumer,"United States",Houston,Texas,77095,Central,"Office Supplies",Binders,$12.176,4,0.80,2.4352
"First Class",Corporate,"United States","San Francisco",California,94109,West,"Office Supplies",Binders,$49.536,3,0.20,39.6288
"Standard Class",Consumer,"United States","Pembroke Pines",Florida,33024,South,Furniture,Tables,$375.4575,3,0.45,206.501625
"Standard Class",Consumer,"United States","Pembroke Pines",Florida,33024,South,Technology,Accessories,$83.976,3,0.20,67.1808
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,Technology,Machines,$482.34,4,0.70,144.702
"Standard Class",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,$2.96,1,0.20,2.368
"First Class",Consumer,"United States",Cincinnati,Ohio,45231,East,"Office Supplies",Art,$2.624,1,0.20,2.0992
"Standard Class",Consumer,"United States","New York City","New York",10009,East,"Office Supplies",Binders,$23.36,4,0.20,18.688
"Second Class",Consumer,"United States","Des Moines",Washington,98198,West,Technology,Phones,$246.384,2,0.20,197.10719999999998
"Second Class",Corporate,"United States",Peoria,Illinois,61604,Central,"Office Supplies",Binders,$12.462,3,0.80,2.4924
"Standard Class","Home Office","United States","Las Vegas",Nevada,89115,West,"Office Supplies",Binders,$75.792,3,0.20,60.6336
"Second Class",Consumer,"United States",Houston,Texas,77036,Central,"Office Supplies",Storage,$35.952,3,0.20,28.761599999999998
"Second Class",Consumer,"United States",Houston,Texas,77036,Central,Furniture,Bookcases,$2396.2656,4,0.32,1629.460608
"Second Class",Consumer,"United States",Houston,Texas,77036,Central,"Office Supplies",Storage,$131.136,4,0.20,104.9088
"Second Class",Consumer,"United States",Houston,Texas,77036,Central,Technology,Accessories,$57.584,2,0.20,46.0672
"First Class",Consumer,"United States",Miami,Florida,33180,South,"Office Supplies",Paper,$9.568,2,0.20,7.6544
"Standard Class",Corporate,"United States",Wilmington,"North Carolina",28403,South,"Office Supplies",Art,$39.072,6,0.20,31.257600000000004
"Standard Class",Consumer,"United States","San Francisco",California,94110,West,Technology,Copiers,$1199.976,3,0.20,959.9808
